	municipio	nome_escola	endereco_escola	numero_endereco	cep	bairro	longitude	latitude
137	sao paulo	amadeu amaral	largo sao jose do belem	66	3057040	belenzinho	-46,59476089	-23,54129028
138	sao paulo	eduardo prado	rua almirante barroso	225	3025000	bras	-46,61245	-23,537261
139	sao paulo	guerino raso	serra da bocaina	126	3174000	quarta parada	-46,59032059	-23,54700089
140	sao paulo	anna teixeira prado zacharias professora	paulina	149	3370040	chacara mafalda	-46,55953798	-23,57183098
141	sao paulo	antonio de queiroz telles doutor	itaqueri	372	3178000	alto da mooca	-46,58414557	-23,55148747
142	sao paulo	armando araujo	juvenal parada	264	3167060	mooca	-46,59716034	-23,5566597
143	sao paulo	paulo luig frei	carlos de campos	841	3028001	pari	-46,61064148	-23,52545929
144	sao paulo	pandia calogeras	avenida paes de barros	1025	3115020	mooca	-46,5961113	-23,56455994
146	sao paulo	oswaldo cruz	rua da mooca	2183	3103003	mooca	-46,60365708	-23,55510165
147	sao paulo	orestes guimaraes	caninde	153	3033000	caninde	-46,62405014	-23,53323936
148	sao paulo	domingos faustino sarmiento	21 de abril	970	3047000	bras	-46,60578918	-23,54223061
149	sao paulo	plinio barreto	siqueira bueno	2123	3173010	belenzinho	-46,58292007	-23,5544796
150	sao paulo	wolny carvalho ramos professor	bom jesus	909	3344000	vila regente feijo	-46,56983948	-23,56374931
151	sao paulo	anchieta padre	rua visconde de abaete	154	3012050	bras	-46,61354065	-23,53996086
152	sao paulo	mmdc	cuiaba	667	3183001	alto da mooca	-46,5904	-23,56050166
153	sao paulo	maria da gloria costa e silva professora	rua doutor monteiro de barros	110	3254120	vila elze	-46,52756119	-23,60803032
154	sao paulo	mario casassanta professor	rua paramu	693	3147100	vila alpina	-46,565979	-23,59429932
155	sao paulo	beatriz r bassi astorino professora	rua juiz de fora	366	3286000	vila ema	-46,53379822	-23,59091949
156	sao paulo	mario marques de oliveira professor	buenopolis	234	3161010	vila santa clara	-46,56418873	-23,57598521
157	sao paulo	victor miguel romano prof	sapopemba	7763	3988010	jardim adutora	-46,52370071	-23,59569931
158	sao paulo	andre dreyfus professor	rua pedro de godoi	170	3138010	vila zelina	-46,58274841	-23,58797073
159	sao paulo	stefan zweig	genaro arila arensanz	225	3275090	vila ivone	-46,55438995	-23,57950974
160	sao paulo	aroldo de azevedo prof	filipa alvares	SN	3984020	jardim planalto	-46,51010132	-23,60589981
